PC,Direction,Funct3,Funct3_mn,Taken,Not_Taken,All,Taken%,P_combined,P_combined%,Best,P_best,P_best%,Pattern
100ac,F,6,bltu,1,2654,2655,0.0,2654,100.0,combined,2654,100.0,2654N 1T
100b8,B,0,beq,2654,0,2654,100.0,2654,100.0,combined,2654,100.0,2654T
100bc,F,7,bgeu,1,0,1,100.0,0,0.0,combined,0,0.0,1T
101fc,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
10220,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
10224,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
10240,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
10244,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
10260,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
10264,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
10280,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
10284,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
102a0,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
102ac,B,0,beq,0,10,10,0.0,6,60.0,combined,6,60.0,10N
102b8,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
102cc,F,1,bne,0,10,10,0.0,10,100.0,combined,10,100.0,10N
103a4,F,1,bne,0,2,2,0.0,2,100.0,combined,2,100.0,2N
103b8,F,7,bgeu,0,2,2,0.0,2,100.0,combined,2,100.0,2N
103c4,F,7,bgeu,2,0,2,100.0,0,0.0,combined,0,0.0,2T
103ec,F,0,beq,0,2,2,0.0,2,100.0,combined,2,100.0,2N
1044c,F,7,bgeu,2,0,2,100.0,1,50.0,combined,1,50.0,2T
104ac,F,7,bgeu,2,0,2,100.0,1,50.0,combined,1,50.0,2T
104dc,B,7,bgeu,0,2,2,0.0,1,50.0,combined,1,50.0,2N
11180,F,0,beq,4,0,4,100.0,0,0.0,combined,0,0.0,4T
11190,B,1,bne,0,4,4,0.0,0,0.0,combined,0,0.0,4N
11198,F,4,blt,0,10,10,0.0,10,100.0,combined,10,100.0,10N
1119c,F,4,blt,0,10,10,0.0,10,100.0,combined,10,100.0,10N
111ac,F,0,beq,0,112,112,0.0,110,98.2,combined,110,98.2,112N
111b4,F,7,bgeu,72,40,112,64.3,75,67.0,combined,75,67.0,8T 10N 16T 2N 2T 8N 10T 2N 2T 2N 2T 8N 10T 2N 2T 2N 6T 2N 2T 2N 12T
111b8,F,5,bge,0,164,164,0.0,164,100.0,combined,164,100.0,164N
111c4,B,6,bltu,124,40,164,75.6,135,82.3,combined,135,82.3,12N 13T 1N 13T 1N 9T 1N 9T 1N 6T 1N 6T 1N 3T 1N 3T 5N 13T 1N 13T 1N 9T 1N 9T 1N 6T 1N 6T 1N 3T 1N 3T 9N
111cc,F,6,bltu,182,94,276,65.9,183,66.3,combined,183,66.3,2N 7T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 16T 1N 1T 1N 4T 1N 2T 1N 3T 1N 2T 2N 1T 1N 1T 1N 2T 1N 3T 1N 2T 2N 1T 1N 1T 3N 1T 1N 4T 1N 1T 3N 1T 1N 4T 1N 1T 1N 1T 3N 3T 1N 1T 3N 3T 1N 2T 1N 1T 1N 2T 1N 11T 1N 1T 1N 3T 1N 1T 1N 3T 1N 2T 1N 3T 1N 2T 2N 1T 1N 1T 1N 2T 1N 3T 1N 2T 2N 1T 1N 1T 3N 1T 1N 4T 1N 1T 3N 1T 1N 4T 1N 1T 1N 1T 3N 3T 1N 1T 3N 3T 1N 2T 1N 1T 1N 2T 1N 11T 1N 1T 1N 3T 1N 1T 1N 7T 1N 1T 1N 3T 1N 1T 1N 12T
111e0,B,1,bne,164,112,276,59.4,244,88.4,combined,244,88.4,8N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 17N 1T 1N 1T 3N 14T 1N 14T 1N 10T 1N 10T 1N 7T 1N 7T 1N 4T 1N 4T 11N 1T 1N 1T 3N 1T 1N 1T 3N 14T 1N 14T 1N 10T 1N 10T 1N 7T 1N 7T 1N 4T 1N 4T 11N 1T 1N 1T 3N 1T 1N 1T 7N 1T 1N 1T 3N 1T 1N 1T 13N
112a0,F,0,beq,10,0,10,100.0,9,90.0,combined,9,90.0,10T
112c8,F,0,beq,0,10,10,0.0,10,100.0,combined,10,100.0,10N
11384,F,0,beq,10,0,10,100.0,6,60.0,combined,6,60.0,10T
11550,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
11614,F,7,bgeu,0,10,10,0.0,10,100.0,combined,10,100.0,10N
11634,F,0,beq,0,20,20,0.0,20,100.0,combined,20,100.0,20N
11640,B,7,bgeu,10,10,20,50.0,19,95.0,combined,19,95.0,1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N 1T 1N
11674,B,1,bne,9,1,10,90.0,9,90.0,combined,9,90.0,9T 1N
119d0,F,5,bge,1,0,1,100.0,0,0.0,combined,0,0.0,1T
11bbc,F,0,beq,0,30,30,0.0,29,96.7,combined,29,96.7,30N
11c0c,B,0,beq,0,10,10,0.0,7,70.0,combined,7,70.0,10N
11c20,F,5,bge,10,0,10,100.0,0,0.0,combined,0,0.0,10T
11c7c,F,0,beq,0,10,10,0.0,10,100.0,combined,10,100.0,10N
11c8c,F,0,beq,10,0,10,100.0,10,100.0,combined,10,100.0,10T
11d50,B,0,beq,0,1668,1668,0.0,1653,99.1,combined,1653,99.1,1668N
11d6c,F,5,bge,0,1536,1536,0.0,1535,99.9,combined,1535,99.9,1536N
11d8c,B,1,bne,132,1536,1668,7.9,1647,98.7,combined,1647,98.7,114N 1T 346N 1T 75N 4T 163N 1T 23N 1T 23N 29T 91N 4T 178N 1T 23N 1T 23N 29T 121N 1T 23N 1T 115N 29T 75N 29T 143N
11e3c,B,1,bne,0,2,2,0.0,0,0.0,combined,0,0.0,2N
11ed8,F,0,beq,0,4,4,0.0,4,100.0,combined,4,100.0,4N
11ee8,B,1,bne,116,4,120,96.7,115,95.8,combined,115,95.8,29T 1N 29T 1N 29T 1N 29T 1N
11f34,F,4,blt,0,31,31,0.0,31,100.0,combined,31,100.0,31N
11f40,F,1,bne,0,31,31,0.0,31,100.0,combined,31,100.0,31N
11f80,F,6,bltu,0,47,47,0.0,46,97.9,combined,46,97.9,47N
11f90,F,6,bltu,31,16,47,66.0,16,34.0,combined,16,34.0,1N 7T 1N 1T 4N 5T 1N 1T 1N 1T 4N 5T 1N 1T 1N 3T 1N 1T 1N 6T
11fac,F,1,bne,0,31,31,0.0,30,96.8,combined,30,96.8,31N
11fc8,F,5,bge,21,10,31,67.7,18,58.1,combined,18,58.1,1N 6T 2N 4T 3N 4T 2N 2T 2N 5T
11ffc,B,4,blt,2,10,12,16.7,2,16.7,combined,2,16.7,2N 1T 3N 1T 5N
1205c,F,1,bne,0,35,35,0.0,35,100.0,combined,35,100.0,35N
12068,F,5,bge,0,35,35,0.0,32,91.4,combined,32,91.4,35N
12070,F,5,bge,35,0,35,100.0,20,57.1,combined,20,57.1,35T
1215c,B,4,blt,16,35,51,31.4,16,31.4,combined,16,31.4,1T 11N 1T 1N 4T 5N 1T 1N 1T 1N 4T 5N 1T 1N 1T 3N 1T 1N 1T 6N
12168,B,1,bne,0,35,35,0.0,28,80.0,combined,28,80.0,35N
12310,F,0,beq,0,60,60,0.0,59,98.3,combined,59,98.3,60N
12328,F,0,beq,0,60,60,0.0,60,100.0,combined,60,100.0,60N
1235c,F,0,beq,39,1497,1536,2.5,1497,97.5,combined,1497,97.5,114N 1T 115N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 74N 1T 70N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 90N 1T 85N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 74N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 22N 1T 74N 1T 107N 1T 34N
12384,B,1,bne,1476,60,1536,96.1,1471,95.8,combined,1471,95.8,1N 46T 2N 45T 2N 42T 1N 14T 2N 52T 2N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 40T 1N 10T 1N 22T 1N 47T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 51T 1N 15T 1N 22T 1N 62T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 51T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 22T 1N 51T 1N 22T 1N 51T 2N 55T 1N 30T 2N
123d4,F,0,beq,1,38,39,2.6,38,97.4,combined,38,97.4,38N 1T
123e4,F,6,bltu,38,0,38,100.0,37,97.4,combined,37,97.4,38T
1240c,B,7,bgeu,0,1,1,0.0,0,0.0,combined,0,0.0,1N
12418,F,5,bge,1,0,1,100.0,1,100.0,combined,1,100.0,1T
12420,F,0,beq,0,39,39,0.0,39,100.0,combined,39,100.0,39N
12424,B,0,beq,0,39,39,0.0,34,87.2,combined,34,87.2,39N
12434,F,6,bltu,0,39,39,0.0,39,100.0,combined,39,100.0,39N
12518,F,0,beq,0,31,31,0.0,30,96.8,combined,30,96.8,31N
12574,F,4,blt,0,4,4,0.0,4,100.0,combined,4,100.0,4N
12620,F,0,beq,1,1,2,50.0,0,0.0,combined,0,0.0,1T 1N
12684,F,6,bltu,2,0,2,100.0,1,50.0,combined,1,50.0,2T
126b0,F,0,beq,2,0,2,100.0,1,50.0,combined,1,50.0,2T
12708,F,4,blt,0,2,2,0.0,2,100.0,combined,2,100.0,2N
1270c,F,6,bltu,0,2,2,0.0,2,100.0,combined,2,100.0,2N
12718,F,7,bgeu,2,0,2,100.0,1,50.0,combined,1,50.0,2T
1278c,F,0,beq,2,0,2,100.0,1,50.0,combined,1,50.0,2T
12800,F,6,bltu,2,0,2,100.0,1,50.0,combined,1,50.0,2T
128dc,F,6,bltu,1,1,2,50.0,0,0.0,combined,0,0.0,1T 1N
128e8,F,4,blt,1,0,1,100.0,0,0.0,combined,0,0.0,1T
12910,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
1293c,F,0,beq,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12944,F,6,bltu,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12960,F,0,beq,0,1,1,0.0,1,100.0,combined,1,100.0,1N
1296c,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
12980,F,0,beq,0,1,1,0.0,1,100.0,combined,1,100.0,1N
129b8,F,0,beq,0,1,1,0.0,1,100.0,combined,1,100.0,1N
129dc,F,0,beq,1,0,1,100.0,1,100.0,combined,1,100.0,1T
12a1c,F,7,bgeu,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12a28,F,7,bgeu,0,1,1,0.0,0,0.0,combined,0,0.0,1N
12a5c,F,6,bltu,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12a64,F,5,bge,0,1,1,0.0,1,100.0,combined,1,100.0,1N
12b08,B,0,beq,2,0,2,100.0,2,100.0,combined,2,100.0,2T
12e9c,F,0,beq,0,2,2,0.0,2,100.0,combined,2,100.0,2N
12ef4,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
12f28,F,0,beq,1,0,1,100.0,0,0.0,combined,0,0.0,1T
12f68,F,1,bne,0,12,12,0.0,12,100.0,combined,12,100.0,12N
12f90,F,1,bne,0,12,12,0.0,12,100.0,combined,12,100.0,12N
12fb4,B,0,beq,72,12,84,85.7,82,97.6,combined,82,97.6,6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N 6T 1N
12fc8,F,0,beq,0,12,12,0.0,12,100.0,combined,12,100.0,12N
12fd0,F,0,beq,0,12,12,0.0,12,100.0,combined,12,100.0,12N
12fd8,F,1,bne,0,12,12,0.0,12,100.0,combined,12,100.0,12N
